##NAMES=Gaspeite
##RRUFFID=R040157
##IDEAL CHEMISTRY=NiCO_3_
##LOCALITY=Lemieux Township, Gaspe Nord County, Gaspe Peninsula, Quebec, Canada
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R040157
##MEASURED CHEMISTRY=(Ni_0.54_Mg_0.31_Fe_0.15_Ca_0.01_Co_0.01_)C_1.00_O_3_; = the gray bands. Light grey bands are also gaspeite: (Ni_0.57_Mg_0.41_Fe_0.08_)C_0.97_O_3_; Dark grey bands, magnesite: (Mg_0.98_Fe_0.04_Ni_0.03_)C_0.97_O_3_
##PIN_ID=M00309
84.311, 0.000
85.706, 22.550
87.101, 0.179
88.496, 120.065
89.890, 166.484
91.284, 249.023
92.678, 261.719
94.071, 284.058
95.465, 309.674
96.858, 212.139
98.251, 77.065
99.644, 90.452
101.036, 4.039
102.428, 14.555
103.820, 36.987
105.212, 37.903
106.604, 219.607
107.995, 263.866
109.387, 299.094
110.777, 118.148
112.168, 164.988
113.559, 407.750
114.949, 667.281
116.339, 864.711
117.729, 608.177
119.119, 291.387
120.508, 295.875
121.897, 300.543
123.286, 325.475
124.675, 244.880
126.063, 222.275
127.452, 232.047
128.840, 206.399
130.228, 236.839
131.615, 273.672
133.003, 254.861
134.390, 321.590
135.777, 364.415
137.164, 413.812
138.550, 434.707
139.937, 433.922
141.323, 423.626
142.709, 382.646
144.094, 398.833
145.480, 363.231
146.865, 330.493
148.250, 394.157
149.635, 409.009
151.019, 312.083
152.403, 367.409
153.788, 323.018
155.171, 328.937
156.555, 361.194
157.939, 280.816
159.322, 320.858
160.705, 322.082
162.088, 320.045
163.470, 335.109
164.853, 342.973
166.235, 366.537
167.617, 487.319
168.998, 366.557
170.380, 429.955
171.761, 427.022
173.142, 379.814
174.523, 393.180
175.904, 374.173
177.284, 325.505
178.664, 366.861
180.044, 297.172
181.424, 340.722
182.803, 352.152
184.183, 390.000
185.562, 408.504
186.940, 355.248
188.319, 388.016
189.698, 305.852
191.076, 382.698
192.454, 359.771
193.831, 413.876
195.209, 431.594
196.586, 377.033
197.963, 450.250
199.340, 518.768
200.717, 473.828
202.093, 530.768
203.470, 563.586
204.846, 605.279
206.221, 691.840
207.597, 836.257
208.972, 1013.519
210.347, 1257.784
211.722, 1569.526
213.097, 1859.248
214.472, 2223.768
215.846, 2584.081
217.220, 2847.197
218.594, 3202.123
219.967, 3474.857
221.341, 3773.400
222.714, 3881.762
224.087, 3864.950
225.460, 3492.973
226.832, 2942.839
228.204, 2109.558
229.577, 1540.148
230.948, 972.723
232.320, 688.340
233.692, 451.588
235.063, 216.769
236.434, 127.928
237.805, 94.029
239.175, 91.050
240.545, 25.970
241.916, 14.046
243.286, 104.110
244.655, 93.624
246.025, 73.943
247.394, 121.454
248.763, 109.667
250.132, 52.030
251.501, 55.885
252.869, 39.844
254.237, 31.361
255.605, 1.091
256.973, 49.146
258.340, 39.998
259.708, 73.616
261.075, 56.310
262.442, 18.481
263.808, 41.550
265.175, 93.068
266.541, 54.824
267.907, 84.584
269.273, 58.595
270.639, 96.111
272.004, 87.354
273.369, 112.422
274.734, 234.107
276.099, 174.842
277.463, 171.224
278.828, 218.540
280.192, 173.284
281.556, 234.784
282.919, 240.936
284.283, 210.158
285.646, 340.198
287.009, 275.574
288.372, 307.895
289.734, 276.558
291.097, 375.858
292.459, 334.846
293.821, 356.374
295.183, 406.681
296.544, 393.735
297.905, 458.390
299.266, 421.962
300.627, 519.396
301.988, 474.609
303.348, 590.536
304.709, 588.182
306.069, 607.526
307.428, 743.389
308.788, 726.065
310.147, 792.140
311.507, 857.051
312.865, 972.079
314.224, 1061.035
315.583, 1187.155
316.941, 1402.375
318.299, 1731.379
319.657, 1969.287
321.015, 2489.248
322.372, 3077.630
323.729, 4090.073
325.086, 5572.111
326.443, 7556.892
327.800, 9901.347
329.156, 12195.289
330.512, 14148.778
331.868, 15122.351
333.224, 15483.678
334.579, 15187.382
335.935, 14179.522
337.290, 12360.915
338.645, 10142.087
339.999, 8262.917
341.354, 6343.164
342.708, 4882.599
344.062, 3798.291
345.416, 3041.271
346.769, 2601.236
348.123, 2224.414
349.476, 1894.653
350.829, 1686.356
352.182, 1502.248
353.534, 1398.372
354.887, 1286.062
356.239, 1257.488
357.591, 1089.298
358.942, 1055.192
360.294, 960.571
361.645, 930.790
362.996, 913.779
364.347, 904.577
365.698, 894.680
367.048, 853.867
368.398, 816.177
369.748, 815.797
371.098, 789.040
372.448, 797.738
373.797, 756.447
375.146, 770.101
376.495, 729.698
377.844, 749.241
379.192, 809.729
380.540, 768.163
381.889, 795.545
383.236, 741.875
384.584, 748.154
385.932, 715.382
387.279, 700.284
388.626, 751.688
389.973, 691.768
391.319, 725.799
392.666, 759.783
394.012, 660.718
395.358, 691.495
396.704, 666.388
398.049, 642.534
399.394, 656.305
400.740, 655.476
402.084, 679.556
403.429, 579.873
404.774, 614.842
406.118, 532.177
407.462, 576.232
408.806, 547.501
410.150, 593.054
411.493, 499.198
412.836, 464.776
414.179, 444.036
415.522, 426.252
416.865, 423.887
418.207, 471.408
419.549, 446.768
420.891, 422.772
422.233, 382.290
423.575, 367.867
424.916, 355.079
426.257, 353.269
427.598, 336.458
428.939, 307.623
430.279, 295.284
431.619, 303.509
432.959, 305.431
434.299, 337.929
435.639, 253.932
436.978, 238.392
438.318, 293.991
439.657, 219.660
440.996, 280.162
442.334, 258.786
443.673, 265.779
445.011, 253.502
446.349, 221.448
447.687, 306.979
449.024, 267.979
450.361, 265.355
451.699, 246.307
453.036, 242.933
454.372, 236.315
455.709, 226.158
457.045, 229.743
458.381, 212.924
459.717, 214.658
461.053, 209.762
462.388, 231.615
463.724, 246.279
465.059, 244.296
466.394, 240.864
467.728, 256.486
469.063, 263.137
470.397, 319.968
471.731, 281.455
473.065, 276.292
474.398, 270.374
475.732, 334.340
477.065, 328.717
478.398, 299.814
479.731, 292.692
481.063, 277.371
482.396, 301.069
483.728, 289.293
485.060, 374.883
486.391, 330.407
487.723, 379.521
489.054, 410.136
490.385, 398.570
491.716, 433.154
493.047, 395.784
494.377, 407.293
495.708, 431.642
497.038, 456.237
498.368, 388.715
499.697, 464.009
501.027, 500.396
502.356, 440.678
503.685, 417.468
505.014, 480.370
506.342, 393.631
507.671, 445.865
508.999, 444.182
510.327, 491.429
511.655, 403.626
512.982, 403.991
514.310, 395.168
515.637, 380.430
516.964, 365.586
518.291, 380.825
519.617, 365.054
520.944, 315.190
522.270, 377.314
523.596, 292.429
524.921, 273.554
526.247, 307.671
527.572, 345.795
528.897, 292.912
530.222, 313.014
531.547, 304.098
532.871, 249.213
534.196, 323.183
535.520, 267.346
536.844, 240.200
538.167, 228.132
539.491, 232.122
540.814, 219.093
542.137, 248.047
543.460, 222.943
544.783, 258.862
546.105, 214.656
547.427, 194.384
548.749, 213.266
550.071, 240.962
551.393, 201.798
552.714, 176.639
554.035, 211.197
555.356, 133.889
556.677, 127.481
557.998, 176.990
559.318, 154.582
560.638, 199.200
561.958, 127.950
563.278, 170.352
564.597, 194.963
565.917, 137.338
567.236, 179.000
568.555, 85.634
569.874, 126.573
571.192, 165.230
572.511, 126.824
573.829, 110.416
575.147, 110.009
576.464, 86.664
577.782, 96.574
579.099, 56.476
580.416, 152.355
581.733, 62.161
583.050, 89.944
584.366, 118.724
585.683, 38.591
586.999, 74.427
588.315, 101.184
589.630, 53.940
590.946, 47.770
592.261, 94.656
593.576, 55.714
594.891, 13.453
596.206, 68.147
597.520, 23.109
598.834, 21.212
600.148, 3.737
601.462, 31.623
602.776, 90.560
604.089, 11.528
605.402, 62.272
606.715, 44.449
608.028, 3.486
609.341, 27.532
610.653, 12.521
611.965, 70.514
613.277, 66.501
614.589, 34.468
615.901, 78.468
617.212, 55.518
618.523, 40.534
619.834, 3.708
621.145, 1.989
622.456, 11.396
623.766, 28.165
625.076, 28.864
626.386, 54.613
627.696, 6.317
629.006, 50.209
630.315, 21.830
631.624, 39.978
632.933, 31.551
634.242, 15.699
635.551, 3.089
636.859, 35.196
638.167, 72.677
639.475, 58.116
640.783, 49.330
642.090, 65.394
643.398, 100.080
644.705, 16.085
646.012, 33.694
647.318, 114.589
648.625, 26.478
649.931, 10.083
651.237, 35.285
652.543, 57.895
653.849, 2.858
655.155, 25.597
656.460, 106.632
657.765, 39.810
659.070, 60.713
660.375, 11.484
661.679, 46.763
662.984, 61.041
664.288, 93.739
665.592, 40.499
666.895, 53.153
668.199, 77.002
669.502, 18.735
670.805, 96.347
672.108, 37.002
673.411, 136.613
674.713, 36.296
676.016, 40.949
677.318, 95.701
678.620, 84.309
679.921, 82.587
681.223, 100.542
682.524, 129.246
683.825, 130.070
685.126, 77.471
686.427, 130.303
687.727, 81.907
689.028, 54.530
690.328, 65.128
691.628, 35.056
692.927, 84.652
694.227, 113.578
695.526, 79.520
696.825, 82.265
698.124, 97.374
699.423, 121.640
700.721, 133.240
702.020, 139.648
703.318, 172.235
704.616, 172.752
705.913, 158.611
707.211, 198.294
708.508, 180.877
709.805, 204.314
711.102, 232.337
712.399, 192.772
713.695, 212.192
714.992, 226.773
716.288, 180.328
717.584, 199.907
718.879, 272.370
720.175, 325.948
721.470, 304.525
722.765, 312.059
724.060, 396.635
725.355, 511.982
726.649, 537.496
727.944, 628.087
729.238, 654.618
730.532, 859.087
731.825, 927.726
733.119, 1102.254
734.412, 1399.817
735.705, 1467.627
736.998, 1874.188
738.291, 1969.582
739.584, 2058.176
740.876, 2032.332
742.168, 1847.145
743.460, 1756.913
744.752, 1539.006
746.043, 1254.304
747.334, 1036.438
748.626, 938.914
749.916, 727.256
751.207, 668.397
752.498, 526.748
753.788, 554.011
755.078, 375.747
756.368, 372.859
757.658, 276.089
758.947, 224.568
760.237, 286.500
761.526, 123.864
762.815, 243.155
764.104, 138.367
765.392, 205.595
766.680, 104.812
767.969, 155.217
769.257, 83.625
770.544, 113.936
771.832, 56.475
773.119, 70.839
774.406, 35.181
775.693, 21.780
776.980, 37.573
778.267, 19.986
779.553, 50.528
780.839, 98.087
782.125, 73.809
783.411, 21.104
784.697, 21.177
785.982, 35.657
787.267, 34.438
788.552, 58.402
789.837, 87.282
791.122, 34.798
792.406, 95.283
793.690, 75.519
794.974, 74.709
796.258, 20.311
797.542, 73.505
798.825, 37.724
800.108, 49.311
801.391, 21.358
802.674, 22.550
803.957, 0.555
805.239, 10.524
806.522, 37.479
807.804, 47.611
809.085, 50.467
810.367, 13.415
811.649, 9.576
812.930, 18.933
814.211, 39.426
815.492, 52.100
816.772, 27.494
818.053, 52.507
819.333, 37.528
820.613, 62.444
821.893, 20.409
823.173, 43.403
824.452, 76.211
825.732, 61.189
827.011, 80.062
828.290, 54.025
829.568, 36.115
830.847, 36.722
832.125, 106.633
833.403, 7.537
834.681, 74.575
835.959, 0.740
837.236, 63.922
838.514, 4.153
839.791, 22.595
841.068, 69.334
842.345, 64.065
843.621, 81.399
844.898, 22.550
846.174, 69.001
847.450, 18.681
848.726, 22.649
850.001, 31.990
851.277, 35.623
852.552, 54.245
853.827, 64.861
855.102, 47.532
856.376, 83.034
857.651, 79.593
858.925, 19.856
860.199, 42.668
861.473, 67.184
862.746, 91.692
864.020, 20.193
865.293, 140.684
866.566, 150.167
867.839, 119.645
869.112, 204.115
870.384, 163.577
871.656, 83.033
872.928, 240.481
874.200, 125.922
875.472, 212.356
876.744, 82.783
878.015, 59.203
879.286, 70.617
880.557, 57.024
881.828, 63.424
883.098, 74.816
884.369, 26.204
885.639, 27.583
886.909, 36.045
888.178, 11.293
889.448, 70.621
890.717, 37.942
891.987, 25.257
893.256, 44.435
894.524, 10.166
895.793, 15.084
897.061, 44.676
898.330, 128.526
899.598, 49.277
900.865, 73.881
902.133, 49.033
903.401, 79.178
904.668, 17.681
905.935, 36.438
907.202, 67.550
908.468, 96.661
909.735, 105.003
911.001, 110.440
912.267, 89.963
913.533, 89.055
914.799, 62.141
916.064, 29.223
917.330, 49.299
918.595, 36.395
919.860, 78.438
921.124, 44.499
922.389, 35.554
923.653, 24.603
924.918, 42.900
926.182, 4.450
927.445, 86.383
928.709, 28.156
929.972, 9.989
931.236, 82.737
932.499, 35.617
933.761, 58.619
935.024, 24.604
936.286, 106.605
937.549, 40.361
938.811, 109.532
940.073, 98.343
941.334, 54.208
942.596, 107.194
943.857, 39.394
945.118, 138.374
946.379, 26.342
947.640, 97.305
948.900, 74.047
950.161, 49.009
951.421, 119.817
952.681, 66.674
953.940, 41.411
955.200, 127.149
956.459, 87.167
957.719, 110.977
958.978, 129.978
960.236, 129.223
961.495, 127.086
962.753, 138.649
964.012, 94.066
965.270, 162.753
966.527, 71.537
967.785, 68.397
969.043, 40.164
970.300, 161.035
971.557, 71.839
972.814, 129.746
974.071, 140.453
975.327, 137.273
976.583, 114.210
977.840, 109.102
979.095, 93.034
980.351, 108.082
981.607, 107.781
982.862, 138.567
984.117, 157.494
985.372, 161.747
986.627, 181.323
987.882, 127.147
989.136, 184.345
990.390, 115.972
991.644, 105.660
992.898, 182.577
994.152, 18.471
995.405, 126.400
996.659, 206.997
997.912, 84.923
999.165, 135.524
1000.417, 114.106
1001.670, 160.889
1002.922, 223.688
1004.174, 180.566
1005.426, 152.490
1006.678, 228.604
1007.930, 115.540
1009.181, 136.476
1010.432, 89.214
1011.683, 119.059
1012.934, 149.003
1014.185, 157.972
1015.435, 137.643
1016.685, 186.610
1017.935, 120.589
1019.185, 200.568
1020.435, 155.547
1021.684, 156.534
1022.934, 201.525
1024.183, 260.518
1025.432, 167.520
1026.680, 230.532
1027.929, 224.557
1029.177, 287.575
1030.425, 291.662
1031.673, 281.689
1032.921, 330.607
1034.169, 220.933
1035.416, 343.929
1036.663, 378.845
1037.911, 283.774
1039.157, 403.307
1040.404, 346.674
1041.650, 469.663
1042.897, 416.577
1044.143, 367.058
1045.389, 441.567
1046.634, 549.303
1047.880, 439.803
1049.125, 540.905
1050.371, 541.179
1051.615, 598.297
1052.860, 677.415
1054.105, 691.539
1055.349, 804.690
1056.593, 677.881
1057.837, 807.254
1059.081, 951.404
1060.325, 889.564
1061.568, 1105.724
1062.812, 1239.887
1064.055, 1445.178
1065.298, 1718.342
1066.540, 1808.556
1067.783, 2048.720
1069.025, 2445.831
1070.267, 2629.016
1071.509, 3190.172
1072.751, 3745.291
1073.993, 4210.462
1075.234, 5135.619
1076.475, 5859.740
1077.716, 7124.920
1078.957, 8560.026
1080.198, 10104.837
1081.438, 12530.023
1082.679, 15275.422
1083.919, 18340.766
1085.159, 22395.871
1086.398, 25991.111
1087.638, 30676.305
1088.877, 34581.516
1090.116, 38146.984
1091.355, 40232.215
1092.594, 41047.559
