##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
##PIN_ID=M01870
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
129.0000, 0.0000000E+00
130.2340, 12.68164
131.4670, 96.93555
132.7000, 34.26245
133.9330, 3.351074
135.1660, 43.25073
136.3990, 110.2278
137.6310, 103.1096
138.8640, 114.2561
140.0960, 186.6711
141.3280, 70.29053
142.5600, 63.82788
143.7910, 23.88501
145.0230, 46.03979
146.2540, 87.52344
147.4850, 121.5105
148.7160, 143.1606
149.9470, 156.1357
151.1780, 133.5544
152.4080, 172.7500
153.6380, 115.0564
154.8690, 139.4949
156.0980, 59.08130
157.3280, 60.82764
158.5580, 90.74146
159.7870, 74.82935
161.0170, 86.09497
162.2460, 93.54175
163.4750, 217.1719
164.7030, 326.9880
165.9320, 423.9907
167.1600, 623.1736
168.3890, 942.7925
169.6170, 1295.268
170.8450, 1506.199
172.0730, 1757.072
173.3000, 2126.284
174.5280, 2611.591
175.7550, 3227.094
176.9820, 3584.786
178.2090, 3854.661
179.4350, 3533.714
180.6620, 2978.937
181.8880, 2280.329
183.1150, 1639.885
184.3410, 1227.601
185.5670, 1005.475
186.7920, 693.5012
188.0180, 557.6750
189.2430, 442.9946
190.4690, 493.4580
191.6940, 373.0635
192.9180, 291.8105
194.1430, 263.6968
195.3680, 217.7227
196.5920, 200.8867
197.8160, 212.1885
199.0400, 203.6277
200.2640, 141.2043
201.4880, 168.9180
202.7110, 148.7463
203.9350, 37.61572
205.1580, 14.52075
206.3810, 36.53467
207.6040, 40.54224
208.8270, 57.19604
210.0490, 31.36450
211.2710, 54.13745
212.4940, 52.78369
213.7160, 26.25098
214.9370, 30.70483
216.1590, 5.884277
217.3810, 10.10547
218.6020, 28.73950
219.8230, 33.65234
221.0440, 44.63428
222.2650, 74.68677
223.4860, 105.8083
224.7060, 175.9985
225.9260, 251.2583
227.1470, 278.5894
228.3670, 464.9924
229.5860, 557.4683
230.8060, 744.0171
232.0260, 751.6409
233.2450, 943.3398
234.4640, 1156.113
235.6830, 1399.963
236.9020, 1591.889
238.1200, 1681.892
239.3390, 1715.972
240.5570, 1685.128
241.7750, 1851.343
242.9930, 1816.603
244.2110, 2044.910
245.4290, 2119.273
246.6460, 1932.710
247.8630, 1622.225
249.0810, 1171.819
250.2980, 859.4937
251.5140, 634.2483
252.7310, 583.0823
253.9470, 489.9971
255.1640, 429.9924
256.3800, 458.0708
257.5960, 375.2314
258.8120, 692.4756
260.0270, 908.8037
261.2430, 702.2168
262.4580, 649.7166
263.6730, 622.3025
264.8880, 736.9768
266.1030, 783.7395
267.3170, 897.5898
268.5320, 1018.530
269.7460, 1212.559
270.9600, 1361.677
272.1740, 1502.885
273.3880, 1668.182
274.6010, 1863.570
275.8150, 1945.713
277.0280, 1932.555
278.2410, 1871.399
279.4540, 1577.305
280.6670, 1344.757
281.8790, 1198.891
283.0920, 1029.010
284.3040, 979.2507
285.5160, 879.6067
286.7280, 732.0728
287.9400, 757.8574
289.1510, 571.8926
290.3630, 593.2314
291.5740, 478.7659
292.7850, 381.0027
293.9960, 281.9675
295.2070, 271.8108
296.4170, 290.2412
297.6280, 191.2820
298.8380, 252.4207
300.0480, 166.8618
301.2580, 278.3779
302.4680, 250.9688
303.6770, 380.6333
304.8870, 487.3713
306.0960, 495.1821
307.3050, 641.0659
308.5140, 597.0210
309.7230, 659.0466
310.9310, 721.1433
312.1400, 755.3093
313.3480, 801.1008
314.5560, 883.8101
315.7640, 844.1023
316.9720, 850.4148
318.1790, 818.7744
319.3870, 854.1973
320.5940, 971.6904
321.8010, 970.2517
323.0080, 1127.880
324.2150, 1094.577
325.4210, 1256.340
326.6280, 1322.168
327.8340, 1299.063
329.0400, 1272.022
330.2460, 1417.045
331.4510, 1253.131
332.6570, 1266.281
333.8620, 1226.492
335.0680, 1289.766
336.2730, 1328.101
337.4780, 1382.497
338.6820, 1468.953
339.8870, 1594.331
341.0910, 1729.043
342.2950, 1928.677
343.5000, 2125.368
344.7030, 2363.117
345.9070, 2567.924
347.1110, 2805.787
348.3140, 3141.707
349.5170, 3478.682
350.7200, 3896.713
351.9230, 4484.732
353.1260, 5244.695
354.3290, 6156.150
355.5310, 7466.567
356.7330, 8927.293
357.9350, 10915.13
359.1370, 13030.90
360.3390, 15308.59
361.5400, 18171.00
362.7420, 21792.37
363.9430, 25847.99
365.1440, 29776.68
366.3450, 33616.41
367.5460, 35717.21
368.7460, 37720.05
369.9470, 39738.95
371.1470, 41587.89
372.3470, 43000.88
373.5470, 41952.95
374.7460, 38916.08
375.9460, 33436.27
377.1450, 27585.54
378.3450, 21987.86
379.5440, 17410.26
380.7430, 13861.75
381.9410, 11119.33
