##NAMES=Hydroxylbastnasite-(Ce)
##RRUFFID=R060283
##IDEAL CHEMISTRY=CeCO_3_(OH)
##LOCALITY=Trimouns, Luzenac, France
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Brown hexagonal tablet
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060283
##MEASURED CHEMISTRY=(Ce_0.50_Nd_0.24_(La,Pr)_0.23_Y_0.03_)_Σ=1_CO_3_((OH)_0.65_F_0.35_)_Σ=1_
##PIN_ID=M00330
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
41.83100, 0.0000000E+00
43.08100, 0.2954410
44.32900, 1.877899
45.57800, 30.09595
46.82700, 46.47638
48.07500, 71.49774
49.32300, 78.43002
50.57100, 109.2884
51.81900, 133.8406
53.06700, 145.5233
54.31400, 175.4861
55.56200, 206.7599
56.80900, 260.4772
58.05600, 302.2866
59.30200, 324.0586
60.54900, 306.1207
61.79500, 349.0794
63.04200, 344.9802
64.28800, 375.3840
65.53300, 442.7412
66.77900, 508.1057
68.02500, 594.6525
69.27000, 688.1755
70.51500, 746.4219
71.76000, 750.8841
73.00500, 706.4824
74.24900, 633.5931
75.49400, 586.5333
76.73800, 534.3088
77.98200, 471.9248
79.22600, 411.3846
80.46900, 341.6816
81.71300, 292.7984
82.95600, 228.7143
84.19900, 177.4058
85.44200, 126.8485
86.68500, 71.01608
87.92800, 29.88110
89.17000, 29.58020
90.41200, 77.38940
91.65500, 107.5728
92.89600, 146.1656
94.13800, 192.2023
95.38000, 200.6971
96.62100, 225.6470
97.86200, 220.0481
99.10300, 228.8967
100.3440, 209.1900
101.5850, 198.9254
102.8250, 80.10046
104.0650, 0.2863770
105.3050, 137.2363
106.5450, 325.7507
107.7850, 671.8301
109.0250, 991.4749
110.2640, 1408.685
111.5030, 1939.461
112.7420, 2746.802
113.9810, 3673.707
115.2200, 4773.175
116.4580, 5523.183
117.6970, 6147.661
118.9350, 6544.585
120.1730, 6689.929
121.4100, 6565.672
122.6480, 6841.793
123.8850, 6855.269
125.1230, 7090.083
126.3600, 7452.215
127.5960, 7893.658
128.8330, 8342.396
130.0700, 8877.392
131.3060, 9399.631
132.5420, 9854.104
133.7780, 9995.825
135.0140, 10123.80
136.2500, 10207.03
137.4850, 10024.50
138.7200, 10197.18
139.9550, 9784.038
141.1900, 9686.973
142.4250, 9339.941
143.6600, 9184.926
144.8940, 9021.967
146.1280, 8926.134
147.3620, 8929.608
148.5960, 8944.474
149.8300, 9004.725
151.0630, 8937.366
152.2960, 9144.394
153.5300, 9250.811
154.7620, 9311.612
155.9950, 9295.875
157.2280, 8998.379
158.4600, 8983.335
159.6920, 8637.678
160.9250, 8139.400
162.1560, 7821.501
163.3880, 7738.984
164.6200, 7687.841
165.8510, 7688.076
167.0820, 7725.688
168.3130, 7745.670
169.5440, 8103.024
170.7750, 8566.752
172.0050, 8656.848
173.2350, 8826.312
174.4650, 9267.141
175.6950, 9344.336
176.9250, 9494.893
178.1550, 9761.812
179.3840, 9944.088
180.6130, 9857.722
181.8420, 10251.71
183.0710, 10357.05
184.3000, 10838.74
185.5280, 10896.78
186.7570, 11048.17
187.9850, 11585.90
189.2130, 11718.99
190.4400, 11797.02
191.6680, 11866.05
192.8960, 11753.01
194.1230, 11456.95
195.3500, 11386.82
196.5770, 11060.63
197.8030, 10643.35
199.0300, 10446.00
200.2560, 10075.59
201.4830, 9799.104
202.7090, 9234.574
203.9340, 8795.905
205.1600, 8604.141
206.3860, 8029.293
207.6110, 7634.425
208.8360, 7316.471
210.0610, 7035.627
211.2860, 6640.766
212.5100, 6438.890
213.7350, 6370.892
214.9590, 6382.619
216.1830, 6377.981
217.4070, 6601.047
218.6310, 6800.881
219.8540, 7116.596
221.0780, 7382.642
222.3010, 7761.967
223.5240, 8199.685
224.7470, 8631.719
225.9690, 9191.978
227.1920, 9655.458
228.4140, 10165.94
229.6360, 10707.61
230.8580, 11379.10
232.0800, 12035.49
233.3020, 12605.61
234.5230, 13273.18
235.7440, 13912.54
236.9650, 14541.06
238.1860, 15081.06
239.4070, 15718.60
240.6280, 16341.87
241.8480, 16851.21
243.0680, 17642.12
244.2880, 17960.84
245.5080, 18628.24
246.7280, 19179.41
247.9470, 19483.09
249.1660, 19629.68
250.3860, 19740.51
251.6040, 19821.17
252.8230, 19769.73
254.0420, 19750.41
255.2600, 19542.92
256.4790, 19493.68
257.6970, 19317.67
258.9150, 18995.92
260.1320, 18421.41
261.3500, 17963.13
262.5670, 17611.09
263.7840, 17132.28
265.0010, 16988.71
266.2180, 16553.36
267.4350, 16524.24
268.6510, 16051.35
269.8680, 15709.69
271.0840, 15122.24
272.3000, 14944.03
273.5160, 14447.04
274.7310, 13987.26
275.9470, 13605.70
277.1620, 13070.37
278.3770, 12787.25
279.5920, 11993.35
280.8070, 11527.67
282.0210, 11173.20
283.2360, 10703.95
284.4500, 10219.91
285.6640, 9870.082
286.8780, 9291.467
288.0920, 8999.068
289.3050, 8528.878
290.5180, 8207.901
291.7320, 7891.139
292.9450, 7604.586
294.1570, 7434.247
295.3700, 7198.116
296.5830, 7028.190
297.7950, 6954.473
299.0070, 6813.961
300.2190, 6675.650
301.4310, 6853.542
302.6420, 6939.631
303.8540, 7029.922
305.0650, 7047.403
306.2760, 7063.085
307.4870, 7287.955
308.6980, 7491.019
309.9080, 7658.273
311.1190, 7731.712
312.3290, 8013.344
313.5390, 8062.485
314.7490, 8075.152
315.9580, 8245.328
317.1680, 8252.687
318.3770, 8335.224
319.5860, 8496.497
320.7950, 8780.825
322.0040, 8805.887
323.2130, 9032.120
324.4210, 9194.525
325.6290, 9308.097
326.8380, 9370.836
328.0460, 9609.740
329.2530, 9712.811
330.4610, 9938.042
331.6680, 10036.43
332.8760, 10191.37
334.0830, 10338.77
335.2890, 10338.97
336.4960, 10484.28
337.7030, 10484.47
338.9090, 10729.32
340.1150, 10751.33
341.3210, 10925.83
342.5270, 10893.77
343.7330, 10991.15
344.9380, 10873.83
346.1440, 10845.53
347.3490, 10692.53
348.5540, 10642.43
349.7590, 10424.35
350.9630, 10295.83
352.1680, 10064.97
353.3720, 9744.951
354.5760, 9510.254
355.7800, 9070.841
356.9840, 8955.259
358.1870, 8528.194
359.3910, 8524.732
360.5940, 8064.734
361.7970, 7811.352
363.0000, 7614.455
364.2030, 7436.811
365.4050, 7193.498
366.6080, 7021.566
367.8100, 7016.589
369.0120, 6696.604
370.2140, 6570.648
371.4150, 6456.717
372.6170, 6500.775
373.8180, 6301.860
375.0190, 6099.290
376.2200, 6064.167
377.4210, 5930.329
378.6220, 5785.023
379.8220, 5807.367
381.0230, 5465.245
382.2230, 5402.016
383.4230, 5446.994
384.6220, 5436.880
385.8220, 5233.217
387.0220, 5086.665
388.2210, 4966.444
389.4200, 4857.398
390.6190, 4723.696
391.8180, 4722.862
393.0160, 4559.593
394.2150, 4575.531
395.4130, 4391.220
396.6110, 4303.754
397.8090, 4221.686
399.0060, 4078.557
400.2040, 4106.838
401.4010, 3861.229
402.5980, 3854.699
403.7950, 3662.266
404.9920, 3593.927
406.1890, 3371.682
407.3860, 3309.529
408.5820, 3196.465
409.7780, 3171.492
410.9740, 2856.608
412.1700, 2642.811
413.3650, 2524.099
414.5610, 2373.472
415.7560, 2110.929
416.9510, 2061.467
418.1460, 1882.086
419.3410, 1660.787
420.5360, 1507.564
421.7300, 1462.420
422.9240, 1239.351
424.1180, 1267.358
425.3120, 988.4375
426.5060, 997.5898
427.7000, 920.8135
428.8930, 856.1074
430.0860, 730.4702
431.2790, 720.2153
432.4720, 665.3975
433.6650, 658.9600
434.8580, 681.5864
436.0500, 617.2759
437.2420, 689.0273
438.4340, 659.8389
439.6260, 599.7100
440.8180, 545.6392
442.0090, 573.6255
443.2010, 569.6675
444.3920, 541.7646
445.5830, 635.9146
446.7740, 595.1172
447.9640, 525.3711
449.1550, 600.6758
450.3450, 648.0288
451.5350, 577.4302
452.7250, 521.8779
453.9150, 595.3711
455.1050, 580.9092
456.2940, 534.4907
457.4830, 451.1152
458.6720, 526.7803
459.8610, 480.4863
461.0500, 432.2310
462.2390, 516.0142
463.4270, 392.8345
464.6150, 344.6909
465.8040, 279.5820
466.9910, 313.5078
468.1790, 237.4668
469.3670, 185.4570
470.5540, 117.4785
471.7410, 112.5303
472.9280, 54.27148
474.1150, 60.72021
475.3020, 19.14404
476.4890, 34.98926
477.6750, 59.82080
478.8610, 55.64648
480.0470, 58.53369
481.2330, 58.26416
482.4190, 83.06152
483.6040, 188.8687
484.7900, 66.73438
485.9750, 152.6094
487.1600, 150.5317
488.3450, 161.5044
489.5290, 214.5356
490.7140, 223.6519
491.8980, 197.8613
493.0820, 219.1548
494.2660, 205.5449
495.4500, 177.0293
496.6340, 193.5962
497.8170, 225.2583
499.0010, 215.0327
500.1840, 267.9180
501.3670, 236.9434
502.5500, 306.0962
503.7320, 258.4136
504.9150, 276.8750
506.0970, 291.4917
507.2790, 239.2749
508.4610, 239.2002
509.6430, 300.2715
510.8250, 208.5200
512.0060, 219.9048
513.1870, 248.4324
514.3680, 191.1204
515.5490, 236.9424
516.7300, 185.9236
517.9110, 222.0403
519.0910, 204.3137
520.2710, 156.7363
521.4510, 145.2871
522.6310, 131.9622
523.8110, 158.7573
524.9910, 122.6880
526.1700, 132.7380
527.3490, 117.9143
528.5280, 80.21167
529.7070, 97.61353
530.8860, 44.12988
532.0650, 10.73657
533.2430, 52.58032
534.4210, 70.17188
535.5990, 71.07983
536.7770, 84.26562
537.9550, 134.4126
539.1320, 88.53271
540.3100, 134.6123
541.4870, 186.6636
542.6640, 187.6938
543.8410, 217.7026
545.0170, 241.6921
546.1940, 352.6611
547.3700, 350.6099
548.5470, 424.5376
549.7230, 458.4441
550.8980, 489.3291
552.0740, 544.1921
553.2500, 592.0332
554.4250, 625.8513
555.6000, 744.6462
556.7750, 873.4182
557.9500, 809.1665
559.1250, 875.8909
560.2990, 1049.591
561.4730, 1135.266
562.6480, 1139.916
563.8220, 1163.541
564.9950, 1323.139
566.1690, 1412.712
567.3430, 1522.258
568.5160, 1560.778
569.6890, 1631.271
570.8620, 1685.794
572.0350, 1696.174
573.2070, 1752.583
574.3800, 1730.965
575.5520, 1710.318
576.7240, 1859.643
577.8960, 1833.939
579.0680, 1852.205
580.2400, 1905.441
581.4110, 1990.648
582.5830, 1855.826
583.7540, 1825.973
584.9250, 1813.089
586.0950, 1721.175
587.2660, 1681.229
588.4370, 1649.253
589.6070, 1535.246
590.7770, 1631.207
591.9470, 1481.136
593.1170, 1438.033
594.2860, 1344.898
595.4560, 1262.731
596.6250, 1244.532
597.7940, 1154.301
598.9630, 1033.036
600.1320, 998.7388
601.3000, 977.4084
602.4690, 834.0452
603.6370, 798.6484
604.8050, 721.2188
605.9730, 766.7554
607.1410, 707.2588
608.3090, 637.7285
609.4760, 576.1641
610.6430, 527.5664
611.8100, 500.5146
612.9770, 494.3870
614.1440, 476.5693
615.3110, 511.8354
616.4770, 517.6829
617.6430, 513.1902
618.8090, 481.0195
619.9750, 443.8818
621.1410, 450.9951
622.3070, 415.5825
623.4720, 467.1711
624.6370, 468.4131
625.8020, 536.3494
626.9670, 444.0049
628.1320, 459.4846
629.2970, 404.0886
630.4610, 514.5330
631.6250, 417.2070
632.7890, 481.0139
633.9530, 425.3921
635.1170, 422.2488
636.2810, 469.4099
637.4440, 345.4036
638.6070, 404.2468
639.7700, 479.3989
640.9330, 412.1682
642.0960, 488.4768
643.2590, 434.4731
644.4210, 440.9966
645.5830, 423.1836
646.7450, 508.2612
647.9070, 406.1523
649.0690, 504.8091
650.2310, 482.6599
651.3920, 509.6602
652.5530, 544.7817
653.7140, 588.0217
654.8750, 642.9949
656.0360, 673.9556
657.1970, 774.2925
658.3570, 812.3281
659.5170, 889.2319
660.6770, 994.7729
661.8370, 1110.818
662.9970, 1230.479
664.1570, 1199.430
665.3160, 1277.362
666.4750, 1305.570
667.6340, 1306.525
668.7930, 1388.570
669.9520, 1352.477
671.1110, 1477.394
672.2690, 1569.151
673.4270, 1506.220
674.5850, 1625.896
675.7430, 1743.537
676.9010, 1900.571
678.0590, 2049.876
679.2160, 2054.914
680.3730, 2093.134
681.5300, 2390.073
682.6870, 2529.014
683.8440, 2825.993
685.0010, 3176.997
686.1570, 3535.036
687.3130, 3846.111
688.4690, 4193.206
689.6250, 4429.328
690.7810, 4760.464
691.9370, 4818.616
693.0920, 4949.797
694.2470, 4980.990
695.4020, 4842.201
696.5570, 4532.430
697.7120, 4318.670
698.8670, 4090.922
700.0210, 3733.188
701.1750, 3597.465
702.3290, 3378.760
703.4830, 3249.066
704.6370, 3257.384
705.7910, 3095.714
706.9440, 3054.056
708.0970, 2980.408
709.2510, 2860.774
710.4030, 2998.152
711.5560, 2979.541
712.7090, 3090.940
713.8610, 3306.350
715.0140, 3632.771
716.1660, 3991.204
717.3180, 4589.648
718.4690, 5591.104
719.6210, 6554.571
720.7730, 8003.051
721.9240, 9475.543
723.0750, 11090.05
724.2260, 12471.57
725.3770, 13898.09
726.5270, 14637.64
727.6780, 14668.19
728.8280, 14245.76
729.9780, 13108.34
731.1280, 11911.94
732.2780, 10513.55
733.4280, 9165.172
734.5770, 8046.810
735.7260, 7133.461
736.8760, 6426.126
738.0250, 5722.807
739.1730, 5155.773
740.3220, 4746.210
741.4700, 4298.936
742.6190, 3962.677
743.7670, 3763.434
744.9150, 3557.208
746.0630, 3403.999
747.2100, 3251.805
748.3580, 3107.628
749.5050, 2987.468
750.6520, 2849.326
751.7990, 2786.201
752.9460, 2545.097
754.0930, 2534.011
755.2390, 2242.134
756.3860, 2315.096
757.5320, 2160.047
758.6780, 2190.134
759.8240, 2218.392
760.9690, 2306.457
762.1150, 2386.058
763.2600, 2521.876
764.4060, 2599.230
765.5510, 2741.472
766.6950, 2846.215
767.8400, 2933.005
768.9850, 3077.170
770.1290, 3168.346
771.2730, 3299.957
772.4170, 3424.373
773.5610, 3583.011
774.7050, 3649.902
775.8480, 3825.730
776.9920, 3873.668
778.1350, 3978.686
779.2780, 4107.354
780.4210, 4023.935
781.5640, 4161.195
782.7060, 4174.229
783.8490, 4171.698
784.9910, 4320.304
786.1330, 4239.149
787.2750, 4139.696
788.4170, 4142.709
789.5580, 4040.416
790.7000, 4011.933
791.8410, 4044.251
792.9820, 4014.005
794.1230, 3891.172
795.2640, 3745.171
796.4040, 3715.314
797.5450, 3660.343
798.6850, 3582.623
799.8250, 3494.754
800.9650, 3349.355
802.1050, 3311.326
803.2450, 3041.841
804.3840, 2912.917
805.5230, 2931.111
806.6630, 2687.784
807.8020, 2678.943
808.9400, 2569.525
810.0790, 2349.087
811.2170, 2256.551
812.3560, 2131.986
813.4940, 2024.576
