##NAMES=Hydroxylbastnasite-(Ce)
##RRUFFID=R060283
##IDEAL CHEMISTRY=CeCO_3_(OH)
##LOCALITY=Trimouns, Luzenac, France
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Brown hexagonal tablet
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060283
##MEASURED CHEMISTRY=(Ce_0.50_Nd_0.24_(La,Pr)_0.23_Y_0.03_)_Σ=1_CO_3_((OH)_0.65_F_0.35_)_Σ=1_
##PIN_ID=M00326
##ORIENTATION=Laser parallel to -c* (0 0 -1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
41.83100, 0.0000000E+00
43.08100, 14.45862
44.32900, 6.140381
45.57800, 1.112183
46.82700, 41.72253
48.07500, 103.6718
49.32300, 213.9022
50.57100, 200.9583
51.81900, 228.1956
53.06700, 248.1937
54.31400, 201.4650
55.56200, 243.4186
56.80900, 286.2905
58.05600, 319.4678
59.30200, 333.7887
60.54900, 344.9905
61.79500, 353.1256
63.04200, 364.0831
64.28800, 371.8695
65.53300, 419.6298
66.77900, 488.7911
68.02500, 623.6667
69.27000, 676.4341
70.51500, 733.7169
71.76000, 768.9897
73.00500, 667.9855
74.24900, 667.5342
75.49400, 625.6089
76.73800, 553.2099
77.98200, 461.3373
79.22600, 400.9918
80.46900, 339.1758
81.71300, 261.8876
82.95600, 235.1194
84.19900, 175.8582
85.44200, 133.0879
86.68500, 98.78912
87.92800, 32.94098
89.17000, 12.47595
90.41200, 33.48010
91.65500, 73.09314
92.89600, 95.34558
94.13800, 126.2676
95.38000, 145.8707
96.62100, 175.1522
97.86200, 158.1088
99.10300, 159.7375
100.3440, 134.0363
101.5850, 82.00250
102.8250, 5.634399
104.0650, 60.06934
105.3050, 202.1101
106.5450, 420.4890
107.7850, 718.2068
109.0250, 970.2637
110.2640, 1245.661
111.5030, 1853.398
112.7420, 2487.475
113.9810, 3473.892
115.2200, 4757.647
116.4580, 5950.764
117.6970, 7065.282
118.9350, 7716.162
120.1730, 7460.381
121.4100, 7127.913
122.6480, 6467.732
123.8850, 6274.811
125.1230, 6093.126
126.3600, 6232.658
127.5960, 6637.391
128.8330, 7168.302
130.0700, 7975.367
131.3060, 8654.559
132.5420, 9389.871
133.7780, 9744.311
135.0140, 9940.881
136.2500, 9919.566
137.4850, 9966.364
138.7200, 9924.260
139.9550, 9637.197
141.1900, 9239.116
142.4250, 8924.970
143.6600, 8598.723
144.8940, 8295.403
146.1280, 8058.098
147.3620, 8093.984
148.5960, 7960.113
149.8300, 8241.480
151.0630, 8720.086
152.2960, 9187.934
153.5300, 9473.021
154.7620, 9972.343
155.9950, 10149.91
157.2280, 10444.71
158.4600, 9997.742
159.6920, 9610.016
160.9250, 9072.523
162.1560, 8510.266
163.3880, 7983.243
164.6200, 7568.447
165.8510, 7252.886
167.0820, 7123.556
168.3130, 7030.455
169.5440, 7053.584
170.7750, 7385.941
172.0050, 7599.525
173.2350, 7867.336
174.4650, 8207.374
175.6950, 8490.638
176.9250, 8694.122
178.1550, 8838.829
179.3840, 8623.761
180.6130, 8422.908
181.8420, 8268.281
183.0710, 7887.868
184.3000, 7750.673
185.5280, 7731.692
186.7570, 7686.926
187.9850, 7784.373
189.2130, 7973.034
190.4400, 8230.083
191.6680, 8464.789
192.8960, 8656.120
194.1230, 8578.104
195.3500, 8625.068
196.5770, 8567.923
197.8030, 8695.575
199.0300, 8583.021
200.2560, 8268.259
201.4830, 8164.321
202.7090, 7649.113
203.9340, 7314.693
205.1600, 6876.042
206.3860, 6277.189
207.6110, 6129.149
208.8360, 5686.948
210.0610, 5253.581
211.2860, 4978.064
212.5100, 4634.360
213.7350, 4407.381
214.9590, 4101.065
216.1830, 3865.578
217.4070, 3718.510
218.6310, 3651.092
219.8540, 3624.643
221.0780, 3740.117
222.3010, 3881.963
223.5240, 3890.999
224.7470, 4044.106
225.9690, 4127.156
227.1920, 4216.170
228.4140, 4401.141
229.6360, 4443.788
230.8580, 4636.639
232.0800, 4486.167
233.3020, 4634.508
234.5230, 4646.701
235.7440, 4787.225
236.9650, 4770.036
238.1860, 4778.454
239.4070, 4772.291
240.6280, 4749.612
241.8480, 4814.862
243.0680, 4835.735
244.2880, 4938.624
245.5080, 5072.575
246.7280, 5208.924
247.9470, 5447.852
249.1660, 5689.842
250.3860, 5985.098
251.6040, 6357.114
252.8230, 6295.507
254.0420, 6563.059
255.2600, 6893.765
256.4790, 6919.622
257.6970, 6898.633
258.9150, 6957.792
260.1320, 6948.103
261.3500, 6514.559
262.5670, 6178.162
263.7840, 5859.908
265.0010, 5561.798
266.2180, 5294.830
267.4350, 4937.002
268.6510, 4740.314
269.8680, 4357.764
271.0840, 4014.352
272.3000, 3838.076
273.5160, 3531.937
274.7310, 3306.932
275.9470, 3138.062
277.1620, 2832.325
278.3770, 2730.724
279.5920, 2623.255
280.8070, 2510.920
282.0210, 2393.717
283.2360, 2340.646
284.4500, 2286.103
285.6640, 2250.899
286.8780, 2214.224
288.0920, 2207.680
289.3050, 2124.269
290.5180, 2133.991
291.7320, 2217.846
292.9450, 2211.835
294.1570, 2304.956
295.3700, 2293.209
296.5830, 2431.593
297.7950, 2575.107
299.0070, 2726.750
300.2190, 2922.531
301.4310, 3135.420
302.6420, 3371.444
303.8540, 3549.594
305.0650, 3845.868
306.2760, 4220.266
307.4870, 4464.784
308.6980, 4675.424
309.9080, 4922.187
311.1190, 5336.068
312.3290, 5569.068
313.5390, 5941.185
314.7490, 6055.418
315.9580, 6159.768
317.1680, 6604.232
318.3770, 6705.811
319.5860, 6921.503
320.7950, 7036.306
322.0040, 7195.221
323.2130, 7436.245
324.4210, 7599.379
325.6290, 7778.621
326.8380, 7894.972
328.0460, 8167.424
329.2530, 8224.989
330.4610, 8403.655
331.6680, 8539.423
332.8760, 8643.296
334.0830, 8896.271
335.2890, 8842.433
336.4960, 8954.598
337.7030, 8921.853
338.9090, 9060.801
340.1150, 9142.053
341.3210, 9087.662
342.5270, 9040.118
343.7330, 9195.232
344.9380, 9035.463
346.1440, 9046.791
347.3490, 8946.376
348.5540, 8849.457
349.7590, 8812.003
350.9630, 8726.008
352.1680, 8564.825
353.3720, 8202.551
354.5760, 8160.701
355.7800, 7785.489
356.9840, 7765.298
358.1870, 7488.475
359.3910, 7267.033
360.5940, 6922.030
361.7970, 6827.941
363.0000, 6494.047
364.2030, 6178.912
365.4050, 5915.612
366.6080, 5875.095
367.8100, 5687.527
369.0120, 5442.067
370.2140, 5239.971
371.4150, 5117.289
372.6170, 4922.892
373.8180, 4749.148
375.0190, 4696.668
376.2200, 4485.781
377.4210, 4527.607
378.6220, 4271.989
379.8220, 4241.734
381.0230, 4007.279
382.2230, 3887.968
383.4230, 3782.643
384.6220, 3691.038
385.8220, 3510.348
387.0220, 3297.523
388.2210, 3189.554
389.4200, 3178.388
390.6190, 3003.434
391.8180, 2954.673
393.0160, 2871.492
394.2150, 2818.980
395.4130, 2723.881
396.6110, 2622.119
397.8090, 2558.202
399.0060, 2464.759
400.2040, 2390.273
401.4010, 2330.083
402.5980, 2248.847
403.7950, 2181.679
404.9920, 2124.578
406.1890, 2052.545
407.3860, 1995.161
408.5820, 1908.670
409.7780, 1881.830
410.9740, 1780.054
412.1700, 1732.340
413.3650, 1655.688
414.5610, 1584.098
415.7560, 1535.568
416.9510, 1395.099
418.1460, 1292.688
419.3410, 1261.337
420.5360, 1166.043
421.7300, 1134.808
