##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00488
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
102.428, 0.000
103.820, 177.242
105.212, 1017.994
106.604, 2120.980
107.995, 3205.268
109.387, 2551.193
110.777, 2663.369
112.168, 2423.154
113.559, 2273.771
114.949, 2072.738
116.339, 1765.422
117.729, 1510.904
119.119, 447.629
120.508, 1751.756
121.897, 3266.750
123.286, 6195.018
124.675, 8581.227
126.063, 9384.393
127.452, 10145.105
128.840, 9258.350
130.228, 8481.602
131.615, 5951.936
133.003, 3690.592
134.390, 1780.637
135.777, 678.348
137.164, 375.533
138.550, 102.709
139.937, 122.715
141.323, 21.064
142.709, 332.180
144.094, 734.676
145.480, 1260.279
146.865, 2577.143
148.250, 3681.301
149.635, 5303.625
151.019, 5475.398
152.403, 5058.871
153.788, 4690.260
155.171, 4334.756
156.555, 3928.523
157.939, 2664.809
159.322, 2805.641
160.705, 2839.602
162.088, 3794.182
163.470, 5192.777
164.853, 6355.723
166.235, 8809.305
167.617, 9926.219
168.998, 11483.547
170.380, 10496.316
171.761, 9239.574
173.142, 7412.367
174.523, 5535.734
175.904, 4624.684
177.284, 3398.242
178.664, 3376.430
180.044, 3386.318
181.424, 4329.906
182.803, 5891.648
184.183, 7160.328
185.562, 9076.045
186.940, 10118.555
188.319, 11939.064
189.698, 13202.846
191.076, 14151.412
192.454, 15424.037
193.831, 14075.051
195.209, 13085.443
196.586, 10126.197
197.963, 8311.297
199.340, 6034.730
