##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00296
##ORIENTATION=Laser parallel to c* (0 0 1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
107.995, 0.000
109.387, 9.168
110.777, 528.144
112.168, 552.562
113.559, 1196.372
114.949, 981.732
116.339, 644.790
117.729, 564.138
119.119, 189.455
120.508, 384.861
121.897, 646.066
123.286, 1763.045
124.675, 2879.344
126.063, 4577.055
127.452, 7061.596
128.840, 8380.721
130.228, 9379.365
131.615, 7670.836
133.003, 5871.731
134.390, 4380.703
135.777, 3669.706
137.164, 2292.731
138.550, 1275.035
139.937, 1311.833
141.323, 1062.306
142.709, 1399.602
144.094, 1844.850
145.480, 2239.167
146.865, 3189.655
148.250, 3610.855
149.635, 4331.591
151.019, 4454.998
152.403, 3948.979
153.788, 3534.253
155.171, 2827.633
156.555, 2715.515
157.939, 2438.988
159.322, 2919.326
160.705, 3353.953
162.088, 3918.016
163.470, 5080.996
164.853, 6004.908
166.235, 7669.762
167.617, 8191.570
168.998, 9268.341
170.380, 8394.079
171.761, 7498.791
173.142, 6205.471
174.523, 4372.109
175.904, 3378.701
177.284, 2189.251
178.664, 1769.779
180.044, 1152.301
181.424, 809.830
182.803, 659.378
184.183, 377.949
185.562, 382.544
186.940, 61.169
188.319, 45.478
189.698, 190.191
191.076, 131.225
192.454, 150.680
193.831, 48.249
195.209, 39.698
196.586, 66.379
197.963, 39.745
199.340, 52.930
200.717, 150.940
202.093, 88.194
203.470, 142.468
204.846, 56.001
206.221, 22.604
207.597, 6.658
208.972, 18.795
210.347, 180.812
211.722, 206.282
213.097, 6.516
214.472, 294.774
215.846, 267.138
217.220, 418.560
218.594, 542.037
219.967, 531.571
221.341, 812.163
222.714, 831.808
224.087, 1109.508
225.460, 1206.265
226.832, 1434.076
228.204, 1602.942
229.577, 1788.862
230.948, 1883.836
232.320, 1588.857
233.692, 1543.909
235.063, 1342.909
236.434, 1071.781
237.805, 893.460
239.175, 925.959
240.545, 994.428
241.916, 878.806
243.286, 1078.166
244.655, 1156.624
246.025, 1149.260
247.394, 1469.081
248.763, 1304.014
250.132, 1588.155
251.501, 1303.527
252.869, 1405.070
254.237, 1344.753
255.605, 1204.509
256.973, 1250.322
258.340, 793.194
259.708, 1188.123
261.075, 536.109
262.442, 268.153
263.808, 342.253
265.175, 13.410
266.541, 104.623
267.907, 212.107
269.273, 130.783
270.639, 137.458
272.004, 358.229
273.369, 46.673
274.734, 345.683
276.099, 107.004
277.463, 116.924
278.828, 14.444
280.192, 62.949
281.556, 100.176
282.919, 175.714
284.283, 36.286
285.646, 173.785
287.009, 156.910
288.372, 158.070
289.734, 296.253
291.097, 230.450
292.459, 552.660
293.821, 603.877
295.183, 885.090
296.544, 1013.267
297.905, 1112.383
299.266, 1366.430
300.627, 1268.414
301.988, 1500.346
303.348, 1300.232
304.709, 1493.080
306.069, 1399.896
307.428, 1368.685
308.788, 1752.451
310.147, 1560.198
311.507, 2096.931
312.865, 2165.650
314.224, 2300.350
315.583, 2360.988
316.941, 2166.424
318.299, 2261.619
319.657, 1532.463
321.015, 1415.025
322.372, 1192.514
323.729, 747.759
325.086, 745.985
326.443, 485.239
327.800, 575.521
329.156, 465.832
330.512, 328.174
331.868, 614.544
333.224, 352.944
334.579, 756.375
335.935, 359.836
337.290, 715.328
338.645, 804.851
339.999, 967.404
341.354, 1250.990
342.708, 1445.606
344.062, 1793.256
345.416, 1896.938
346.769, 1727.649
348.123, 1900.394
349.476, 1575.170
350.829, 1900.976
352.182, 1480.705
353.534, 1494.336
354.887, 1423.800
356.239, 1320.084
357.591, 1713.799
358.942, 1282.862
360.294, 1756.734
361.645, 1942.484
362.996, 1973.602
364.347, 2280.764
365.698, 2324.051
367.048, 2833.117
368.398, 2733.789
369.748, 3317.445
371.098, 3592.561
372.448, 3874.082
373.797, 4617.600
375.146, 4653.443
376.495, 5527.219
377.844, 5449.068
379.192, 5988.336
380.540, 6516.590
381.889, 6163.326
383.236, 6454.162
384.584, 5908.549
385.932, 5910.699
387.279, 5664.902
388.626, 5021.750
389.973, 5340.293
391.319, 4608.270
392.666, 4837.461
394.012, 4566.074
395.358, 4403.490
396.704, 4550.336
398.049, 3934.881
399.394, 4624.934
400.740, 4297.020
402.084, 4750.203
403.429, 4983.420
404.774, 4926.672
406.118, 5507.961
407.462, 5641.281
408.806, 6309.635
410.150, 6938.023
411.493, 7612.443
412.836, 8866.896
414.179, 9475.379
415.522, 11007.893
416.865, 12149.434
418.207, 13628.000
419.549, 15107.605
420.891, 15739.227
422.233, 17122.885
423.575, 16704.570
424.916, 16251.277
426.257, 15652.020
427.598, 14129.785
428.939, 13567.582
430.279, 11817.330
431.619, 11707.277
432.959, 11046.891
434.299, 10610.748
435.639, 10724.848
436.978, 10897.656
438.318, 11869.430
439.657, 12107.660
440.996, 13159.684
442.334, 13494.086
443.673, 12384.359
445.011, 11855.438
446.349, 9414.254
447.687, 8485.367
449.024, 6937.500
450.361, 5757.648
451.699, 5384.816
453.036, 4291.000
454.372, 4367.199
455.709, 3815.418
457.045, 3450.650
458.381, 3272.902
459.717, 2879.170
461.053, 2963.455
462.388, 2370.758
463.724, 2479.082
465.059, 2610.424
466.394, 2441.781
467.728, 2777.160
469.063, 2587.559
470.397, 2731.977
471.731, 2962.412
473.065, 3034.869
474.398, 3643.346
475.732, 3572.840
477.065, 4378.357
478.398, 4924.895
479.731, 5323.453
481.063, 6333.035
482.396, 7398.641
483.728, 9144.273
485.060, 10697.934
486.391, 13589.621
487.723, 16801.332
489.054, 19952.072
490.385, 25270.840
491.716, 27322.633
493.047, 30114.445
494.377, 30189.293
495.708, 26874.164
497.038, 23651.059
498.368, 18917.982
499.697, 15582.930
501.027, 12300.906
502.356, 9619.902
503.685, 8079.930
505.014, 6396.980
506.342, 5487.055
507.671, 4495.154
508.999, 3777.281
510.327, 3550.430
511.655, 2645.607
512.982, 2547.809
514.310, 2135.035
515.637, 1608.287
516.964, 1696.568
518.291, 1216.885
519.617, 1069.240
520.944, 704.658
522.270, 935.135
523.596, 736.670
524.921, 484.291
526.247, 494.980
527.572, 275.750
528.897, 256.580
530.222, 436.445
531.547, 62.352
532.871, 307.307
534.196, 40.650
535.520, 218.404
536.844, 4.309
538.167, 208.572
539.491, 14.518
540.814, 226.902
542.137, 25.457
543.460, 213.443
544.783, 55.305
546.105, 77.236
547.427, 239.779
548.749, 60.402
550.071, 191.100
551.393, 151.572
552.714, 116.174
554.035, 226.334
555.356, 309.188
556.677, 26.148
557.998, 186.883
559.318, 603.559
560.638, 234.184
561.958, 775.887
563.278, 814.604
564.597, 848.328
565.917, 1298.070
567.236, 937.822
568.555, 1589.588
569.874, 1388.365
571.192, 1737.158
572.511, 1811.959
573.829, 1567.773
575.147, 2260.602
576.464, 1993.439
577.782, 2293.293
579.099, 2681.158
580.416, 2551.035
581.733, 2704.924
583.050, 2676.826
584.366, 2946.744
585.683, 2682.670
586.999, 2528.611
588.315, 2387.564
589.630, 1971.584
590.946, 1986.648
592.261, 1748.764
593.576, 1266.977
594.891, 1311.217
596.206, 1005.557
597.520, 1259.932
598.834, 916.348
600.148, 951.777
601.462, 1127.232
602.776, 815.725
604.089, 1197.229
605.402, 976.752
606.715, 1043.287
608.028, 1168.834
609.341, 1049.395
610.653, 1517.967
611.965, 1599.549
613.277, 1794.145
614.589, 2114.752
615.901, 2411.373
617.212, 2834.006
618.523, 3075.648
619.834, 3406.305
621.145, 3832.973
622.456, 4371.648
623.766, 4941.340
625.076, 5489.645
626.386, 6519.756
627.696, 6757.480
629.006, 7455.217
630.315, 8249.969
631.624, 8663.723
632.933, 9226.496
634.242, 9894.281
635.551, 9924.074
636.859, 10776.879
638.167, 10242.699
639.475, 10792.527
640.783, 10549.361
642.090, 10075.215
643.398, 10088.076
644.705, 9501.949
646.012, 9122.836
647.318, 8463.730
648.625, 7929.639
649.931, 7708.555
651.237, 6888.486
652.543, 6439.426
653.849, 6190.377
655.155, 5527.340
656.460, 5300.311
657.765, 4323.293
659.070, 4221.287
660.375, 3929.293
661.679, 3403.305
662.984, 3408.332
664.288, 2816.371
665.592, 2982.416
666.895, 2411.475
668.199, 2145.541
669.502, 2017.619
670.805, 1915.709
672.108, 1612.809
673.411, 1459.918
674.713, 1226.037
676.016, 1377.166
677.318, 871.303
678.620, 981.451
