##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00373
##ORIENTATION=Laser parallel to (1 0 1). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
88.496, 0.000
89.890, 72.571
91.284, 1353.967
92.678, 3512.820
94.071, 5803.377
95.465, 8412.443
96.858, 8204.862
98.251, 7017.344
99.644, 4447.713
101.036, 3202.330
102.428, 3711.772
103.820, 6023.996
105.212, 9349.557
106.604, 11731.500
107.995, 13636.952
109.387, 11476.591
110.777, 9215.363
112.168, 6607.230
113.559, 4699.969
114.949, 2877.793
116.339, 1271.154
117.729, 267.897
119.119, 288.587
120.508, 196.739
121.897, 1156.311
123.286, 2966.508
124.675, 5406.070
126.063, 6757.879
127.452, 9216.043
128.840, 10243.745
130.228, 10730.156
131.615, 9136.728
133.003, 6187.929
134.390, 4181.054
135.777, 2422.453
137.164, 2003.787
138.550, 1760.813
139.937, 2434.190
141.323, 2895.245
142.709, 2910.271
144.094, 2965.521
145.480, 2728.219
146.865, 3695.566
148.250, 4649.736
149.635, 6588.303
151.019, 7466.365
152.403, 7087.604
153.788, 6976.166
155.171, 6086.351
156.555, 6140.403
157.939, 5267.619
159.322, 4748.750
160.705, 4454.548
162.088, 4654.623
163.470, 5559.029
164.853, 6261.783
166.235, 8203.896
167.617, 9277.406
168.998, 10527.341
170.380, 10306.729
171.761, 8545.562
173.142, 7101.423
174.523, 5138.158
175.904, 4388.510
177.284, 3289.199
178.664, 3643.076
180.044, 4254.156
181.424, 5353.269
182.803, 7373.160
184.183, 8744.824
185.562, 10920.204
186.940, 12029.075
188.319, 13255.491
189.698, 14737.340
191.076, 15033.590
192.454, 17013.211
193.831, 15865.174
195.209, 14826.451
196.586, 11934.012
197.963, 9298.828
199.340, 6711.879
200.717, 4491.138
202.093, 3175.583
203.470, 1964.179
204.846, 1311.892
206.221, 585.678
207.597, 301.506
208.972, 132.365
210.347, 67.751
211.722, 116.847
213.097, 171.407
214.472, 124.003
215.846, 103.092
217.220, 73.228
218.594, 68.551
219.967, 259.781
221.341, 61.229
222.714, 278.790
224.087, 407.462
225.460, 200.241
226.832, 315.129
228.204, 159.123
229.577, 123.222
230.948, 231.578
232.320, 396.224
233.692, 493.486
235.063, 951.377
236.434, 979.065
237.805, 1714.513
239.175, 1428.462
240.545, 1658.007
241.916, 1390.327
243.286, 1327.715
244.655, 1571.171
246.025, 1499.652
247.394, 1865.070
248.763, 1790.422
250.132, 1870.710
251.501, 1520.937
252.869, 1123.101
254.237, 848.097
255.605, 344.205
256.973, 308.980
258.340, 49.722
259.708, 90.643
261.075, 129.238
262.442, 296.851
263.808, 173.754
265.175, 452.094
266.541, 365.086
267.907, 641.824
269.273, 570.604
270.639, 595.353
272.004, 711.155
273.369, 529.108
274.734, 617.216
276.099, 314.544
277.463, 329.051
278.828, 187.782
280.192, 157.270
281.556, 169.166
282.919, 562.895
284.283, 664.838
285.646, 1104.246
287.009, 1434.438
288.372, 1635.365
289.734, 2471.008
291.097, 2547.373
292.459, 3577.479
293.821, 4163.330
295.183, 5304.941
296.544, 6830.311
297.905, 7580.419
299.266, 9443.232
300.627, 9700.712
301.988, 10143.850
303.348, 9728.656
304.709, 8703.146
306.069, 7919.333
307.428, 6563.232
308.788, 6224.857
310.147, 5320.218
311.507, 5018.322
312.865, 5004.183
314.224, 4688.566
315.583, 4988.254
316.941, 4546.308
318.299, 4435.894
319.657, 4068.820
321.015, 3538.879
322.372, 3446.204
323.729, 2952.960
325.086, 3140.576
326.443, 3135.077
327.800, 3318.465
329.156, 3531.744
330.512, 3166.915
331.868, 3365.980
333.224, 2914.945
334.579, 3023.809
335.935, 3042.573
337.290, 3259.229
338.645, 3927.471
339.999, 4402.151
341.354, 5522.174
342.708, 6284.361
344.062, 7370.643
345.416, 8331.996
346.769, 8435.575
348.123, 8893.570
349.476, 7859.349
350.829, 7932.090
352.182, 7295.799
353.534, 7210.476
354.887, 7085.117
356.239, 6444.723
357.591, 6680.290
358.942, 6014.817
360.294, 6120.306
361.645, 5515.752
362.996, 5041.158
364.347, 4990.519
365.698, 4439.839
367.048, 4595.115
368.398, 4098.348
369.748, 4204.537
371.098, 4313.684
372.448, 4007.736
373.797, 4543.371
375.146, 4404.464
376.495, 4822.298
377.844, 5040.777
379.192, 5017.583
380.540, 5576.939
381.889, 5425.596
383.236, 5853.873
384.584, 5828.765
385.932, 5727.369
387.279, 6124.508
388.626, 5611.262
389.973, 5978.782
391.319, 5600.458
392.666, 5710.576
394.012, 5553.875
395.358, 5206.619
396.704, 5385.215
398.049, 4659.268
399.394, 4578.977
400.740, 4299.332
402.084, 4199.660
403.429, 4453.963
404.774, 4277.244
406.118, 4654.500
407.462, 4709.732
408.806, 5094.941
410.150, 5825.124
411.493, 6264.283
412.836, 7502.420
414.179, 8099.532
415.522, 9817.622
416.865, 11132.702
418.207, 12943.743
419.549, 15887.512
420.891, 16966.006
422.233, 19529.475
423.575, 19931.031
424.916, 19075.557
426.257, 18656.283
427.598, 15869.995
428.939, 14564.620
430.279, 12271.322
431.619, 11288.947
432.959, 10155.478
434.299, 9346.194
435.639, 9766.807
436.978, 9346.359
438.318, 10437.389
439.657, 11452.999
440.996, 12393.966
442.334, 13728.819
443.673, 12949.739
445.011, 12296.573
446.349, 10306.871
447.687, 8472.093
449.024, 6956.240
450.361, 5634.780
451.699, 4719.310
453.036, 3729.236
454.372, 3169.093
455.709, 2834.879
457.045, 2368.598
458.381, 2303.251
459.717, 2027.066
461.053, 1911.357
462.388, 1823.816
463.724, 1703.213
465.059, 1801.550
466.394, 1770.829
467.728, 2098.052
469.063, 2128.219
470.397, 2508.331
471.731, 2805.390
473.065, 2762.396
474.398, 3587.354
475.732, 3884.263
477.065, 4616.127
478.398, 5331.950
479.731, 5927.731
481.063, 7699.477
482.396, 8511.192
483.728, 10506.874
485.060, 13415.531
486.391, 15989.162
487.723, 20794.766
489.054, 24966.348
490.385, 32115.908
491.716, 37686.441
493.047, 42482.961
494.377, 45773.438
495.708, 42724.906
497.038, 40268.359
498.368, 34281.785
499.697, 28421.193
501.027, 24466.576
502.356, 19584.955
503.685, 17382.326
505.014, 14344.693
506.342, 12072.057
507.671, 10396.429
508.999, 8121.805
510.327, 6831.195
511.655, 5091.598
512.982, 4305.016
514.310, 3405.478
515.637, 2546.954
516.964, 2180.487
518.291, 1563.070
519.617, 1395.717
520.944, 1151.449
522.270, 792.250
523.596, 724.179
524.921, 497.178
526.247, 408.256
527.572, 188.469
528.897, 96.778
530.222, 231.203
531.547, 105.235
532.871, 41.401
534.196, 138.753
535.520, 22.209
536.844, 80.587
538.167, 196.244
539.491, 47.831
540.814, 289.238
542.137, 180.716
543.460, 139.070
544.783, 84.384
546.105, 113.937
547.427, 238.592
548.749, 225.629
550.071, 266.631
551.393, 320.659
552.714, 206.752
554.035, 169.929
555.356, 42.179
556.677, 258.437
557.998, 48.812
559.318, 187.805
560.638, 122.431
561.958, 699.068
563.278, 619.719
564.597, 891.381
565.917, 1367.054
567.236, 1444.738
568.555, 2030.435
569.874, 1986.145
571.192, 2632.865
572.511, 3060.598
573.829, 3249.342
575.147, 4074.098
576.464, 4073.865
577.782, 4895.647
579.099, 5496.443
580.416, 6111.332
581.733, 7169.324
583.050, 7363.430
584.366, 8289.697
585.683, 8490.092
586.999, 8216.695
588.315, 8504.482
589.630, 7309.531
590.946, 7259.824
592.261, 6768.367
593.576, 6114.197
594.891, 6131.266
596.206, 5214.599
597.520, 5153.117
598.834, 4621.831
600.148, 4471.701
601.462, 4421.644
602.776, 3888.658
604.089, 4364.695
605.402, 4233.750
606.715, 4454.822
608.028, 4811.912
609.341, 4643.020
610.653, 5333.146
611.965, 5440.291
613.277, 6125.453
614.589, 6933.635
615.901, 7044.833
617.212, 8292.052
618.523, 8819.290
619.834, 9744.548
621.145, 11086.822
622.456, 11604.118
623.766, 13503.433
625.076, 14329.770
626.386, 15893.124
627.696, 18054.494
629.006, 18747.889
630.315, 21231.303
631.624, 21930.736
632.933, 23470.191
634.242, 25606.664
635.551, 25207.156
636.859, 27509.672
638.167, 26855.209
639.475, 27586.762
640.783, 27139.336
642.090, 26002.936
643.398, 26635.549
644.705, 24421.186
646.012, 23929.838
647.318, 23010.643
648.625, 20800.340
649.931, 20435.062
651.237, 18624.797
652.543, 17237.551
653.849, 16634.326
655.155, 14633.122
656.460, 14449.936
657.765, 12580.770
659.070, 12053.622
660.375, 11086.444
661.679, 10073.337
662.984, 9577.444
664.288, 8583.793
665.592, 8138.260
666.895, 7586.064
668.199, 6711.840
669.502, 6437.748
670.805, 5764.721
672.108, 5562.431
673.411, 5106.637
674.713, 4503.027
676.016, 4470.174
677.318, 3909.747
678.620, 3873.078
679.921, 3518.604
681.223, 3183.218
682.524, 3294.993
683.825, 2753.296
685.126, 2823.728
686.427, 2571.355
687.727, 2307.063
689.028, 2464.139
690.328, 1967.183
691.628, 2211.848
692.927, 1871.761
694.227, 1796.408
695.526, 1994.252
696.825, 1756.859
698.124, 1614.061
699.423, 1533.783
700.721, 1343.230
702.020, 1490.644
703.318, 1207.734
704.616, 1129.053
705.913, 950.308
707.211, 692.716
708.508, 873.804
709.805, 659.114
711.102, 799.813
712.399, 625.617
713.695, 567.922
714.992, 780.525
716.288, 465.442
717.584, 942.345
718.879, 794.234
720.175, 772.109
721.470, 1081.971
722.765, 1054.817
724.060, 1400.648
725.355, 1536.467
726.649, 1751.270
727.944, 2462.058
729.238, 2597.828
730.532, 3401.585
731.825, 3904.324
733.119, 4813.049
734.412, 6294.756
735.705, 6978.447
736.998, 9354.121
738.291, 11645.777
739.584, 13274.416
740.876, 17280.033
742.168, 19276.625
743.460, 21582.205
744.752, 23484.756
746.043, 21620.287
747.334, 21395.793
748.626, 18506.275
749.916, 16200.726
751.207, 14559.148
752.498, 11875.542
753.788, 10549.907
755.078, 8805.234
756.368, 7652.533
757.658, 7032.799
758.947, 5668.029
760.237, 5540.225
761.526, 4886.388
762.815, 4535.514
764.104, 4275.607
765.392, 4017.665
766.680, 4148.688
767.969, 4021.675
769.257, 3501.626
770.544, 3433.541
771.832, 2874.422
773.119, 3073.264
774.406, 2559.070
775.693, 2405.840
776.980, 2357.572
778.267, 1958.268
779.553, 1901.926
780.839, 1630.546
782.125, 1512.129
783.411, 1520.683
784.697, 1232.197
785.982, 1176.674
787.267, 1138.112
788.552, 903.512
789.837, 999.890
791.122, 770.235
792.406, 896.541
793.690, 729.807
794.974, 650.037
796.258, 714.228
797.542, 471.390
798.825, 555.513
800.108, 591.604
801.391, 378.654
802.674, 638.661
803.957, 411.641
805.239, 725.578
806.522, 794.474
807.804, 991.327
809.085, 899.138
810.367, 454.907
811.649, 428.633
812.930, 452.316
814.211, 207.957
815.492, 540.545
816.772, 378.090
818.053, 326.590
819.333, 304.041
820.613, 128.443
821.893, 240.783
823.173, 126.073
824.452, 17.701
825.732, 142.401
827.011, 55.557
828.290, 34.227
829.568, 81.321
830.847, 167.180
832.125, 97.649
833.403, 323.406
834.681, 101.448
835.959, 135.658
837.236, 351.057
838.514, 193.754
839.791, 276.670
841.068, 357.847
842.345, 281.326
843.621, 364.037
844.898, 258.054
846.174, 395.280
847.450, 213.828
848.726, 204.578
850.001, 342.496
851.277, 15.691
852.552, 201.930
853.827, 3.663
855.102, 52.817
856.376, 37.587
857.651, 339.932
858.925, 324.291
860.199, 494.662
861.473, 592.057
862.746, 641.489
864.020, 1051.931
865.293, 960.370
866.566, 1290.776
867.839, 1536.204
869.112, 1538.601
870.384, 1979.952
871.656, 2045.264
872.928, 2216.530
874.200, 2762.757
875.472, 2905.941
876.744, 3216.084
878.015, 3656.186
879.286, 3702.246
880.557, 4045.267
881.828, 4049.246
883.098, 4164.184
884.369, 4463.083
885.639, 4037.942
886.909, 4208.760
888.178, 3797.542
889.448, 3588.283
890.717, 3682.985
891.987, 3051.648
893.256, 3207.273
894.524, 2818.859
895.793, 2672.408
897.061, 2656.918
898.330, 2259.391
899.598, 2329.826
900.865, 2140.225
902.133, 1898.585
903.401, 1944.910
904.668, 1564.199
905.935, 1503.450
907.202, 1475.667
908.468, 1315.848
909.735, 1425.992
911.001, 1179.104
912.267, 1175.180
913.533, 1189.221
914.799, 937.228
916.064, 1107.201
917.330, 867.140
918.595, 855.047
919.860, 884.920
921.124, 824.761
922.389, 774.570
923.653, 807.347
924.918, 591.091
926.182, 869.805
927.445, 611.487
928.709, 767.138
929.972, 759.758
931.236, 566.349
932.499, 828.909
933.761, 666.439
935.024, 735.714
936.286, 1132.187
937.549, 912.630
938.811, 1217.087
940.073, 1215.473
941.334, 1416.768
942.596, 1677.349
943.857, 1666.651
945.118, 2033.927
946.379, 2300.062
947.640, 2347.328
948.900, 2771.016
950.161, 2302.184
951.421, 2663.464
952.681, 2472.581
953.940, 2209.544
955.200, 2041.466
956.459, 1812.504
957.719, 1530.521
958.978, 1576.515
960.236, 1221.483
961.495, 1223.428
962.753, 934.352
964.012, 834.251
965.270, 829.129
966.527, 593.034
967.785, 712.867
969.043, 607.480
970.300, 586.852
971.557, 467.104
972.814, 428.016
974.071, 300.954
975.327, 398.760
976.583, 136.498
977.840, 296.501
979.095, 162.766
980.351, 48.324
981.607, 235.886
982.862, 38.980
984.117, 300.387
985.372, 135.558
986.627, 62.641
987.882, 267.562
989.136, 108.957
990.390, 136.226
991.644, 352.298
992.898, 154.290
994.152, 439.109
995.405, 302.768
996.659, 472.118
997.912, 779.903
999.165, 769.133
1000.417, 1070.006
1001.670, 1159.291
1002.922, 1157.161
1004.174, 1493.418
1005.426, 1206.659
1006.678, 1189.438
1007.930, 1342.797
1009.181, 1077.195
1010.432, 1279.586
1011.683, 1229.341
1012.934, 1124.114
1014.185, 1490.911
1015.435, 1100.728
1016.685, 1273.630
1017.935, 1539.553
1019.185, 1349.496
1020.435, 1694.501
1021.684, 1465.524
1022.934, 1485.585
1024.183, 1844.706
1025.432, 1550.851
1026.680, 1715.043
1027.929, 1738.262
1029.177, 1455.499
1030.425, 1656.820
1031.673, 1332.166
1032.921, 1454.539
1034.169, 1349.973
1035.416, 1020.431
1036.663, 1204.916
1037.911, 1044.432
1039.157, 974.976
1040.404, 1312.567
1041.650, 954.187
1042.897, 1308.834
1044.143, 1319.510
1045.389, 1145.213
1046.634, 1616.946
1047.880, 1504.709
1049.125, 1735.501
1050.371, 2058.324
1051.615, 1885.178
1052.860, 2136.062
1054.105, 2304.979
1055.349, 2232.926
1056.593, 2616.908
1057.837, 2291.920
1059.081, 2629.967
1060.325, 2409.045
1061.568, 2052.156
1062.812, 2332.299
1064.055, 1847.474
1065.298, 1850.680
1066.540, 1711.918
1067.783, 1111.186
1069.025, 1273.485
1070.267, 1026.814
1071.509, 796.176
1072.751, 895.567
1073.993, 478.989
1075.234, 591.442
1076.475, 481.926
1077.716, 112.442
1078.957, 812.990
1080.198, 203.566
1081.438, 66.175
1082.679, 268.815
1083.919, 115.516
1085.159, 180.167
1086.398, 122.881
1087.638, 1.630
1088.877, 254.408
1090.116, 196.783
1091.355, 90.979
1092.594, 169.843
1093.833, 50.696
1095.071, 71.417
1096.309, 0.491
1097.547, 145.572
1098.785, 107.372
1100.023, 131.654
1101.260, 30.328
1102.498, 156.349
1103.735, 160.604
1104.972, 208.466
1106.208, 226.578
1107.445, 157.729
1108.681, 565.921
1109.918, 261.153
1111.154, 615.430
1112.389, 675.747
1113.625, 405.107
1114.860, 1003.513
1116.096, 937.966
1117.331, 1151.465
1118.566, 1616.011
1119.800, 1272.604
1121.035, 1971.246
1122.269, 2337.943
1123.503, 2287.694
1124.737, 3117.504
1125.971, 2999.399
1127.205, 3323.352
1128.438, 3744.402
