##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00380
##ORIENTATION=Laser parallel to -b* (0 -1 0). Fiducial mark perpendicular to laser is parallel to -c [0 0 -1]
102.428, 0.000
103.820, 122.712
105.212, 29.370
106.604, 541.319
107.995, 584.324
109.387, 1274.625
110.777, 4309.332
112.168, 2915.011
113.559, 4815.396
114.949, 2314.645
116.339, 2549.827
117.729, 3557.598
119.119, 3192.236
120.508, 2086.378
121.897, 2955.479
123.286, 5194.543
124.675, 7507.582
126.063, 11821.715
127.452, 14641.951
128.840, 16705.539
130.228, 14969.896
131.615, 10816.053
133.003, 7641.431
134.390, 4655.519
135.777, 3607.723
137.164, 2590.383
138.550, 2420.782
139.937, 2381.173
141.323, 2239.773
142.709, 2995.780
144.094, 3306.209
145.480, 5006.529
146.865, 5850.052
148.250, 7207.836
149.635, 7678.988
151.019, 7058.053
152.403, 6658.922
153.788, 5838.066
155.171, 5762.699
156.555, 5444.835
157.939, 6076.241
159.322, 7322.807
160.705, 8984.334
162.088, 11732.839
163.470, 14498.335
164.853, 18776.836
166.235, 22032.344
167.617, 23697.867
168.998, 23422.383
170.380, 19959.871
171.761, 16574.299
173.142, 12467.688
174.523, 9326.083
175.904, 6803.498
177.284, 5110.954
178.664, 4233.457
180.044, 3116.014
181.424, 2953.631
182.803, 2239.316
184.183, 2095.076
185.562, 1594.854
186.940, 1224.004
188.319, 915.837
189.698, 644.065
191.076, 569.421
192.454, 220.625
193.831, 193.508
195.209, 47.976
196.586, 57.101
197.963, 126.881
199.340, 304.336
200.717, 141.485
202.093, 394.348
203.470, 250.939
204.846, 269.273
206.221, 229.360
207.597, 101.784
208.972, 332.852
210.347, 80.693
211.722, 112.377
213.097, 495.178
214.472, 568.094
215.846, 675.120
217.220, 1110.259
218.594, 919.509
219.967, 1334.867
221.341, 1114.335
222.714, 1533.911
224.087, 1705.595
225.460, 1909.384
226.832, 2635.280
228.204, 2476.267
229.577, 3043.329
230.948, 2621.445
232.320, 2502.412
233.692, 2277.048
235.063, 1931.262
236.434, 2027.019
237.805, 1717.511
239.175, 2251.813
240.545, 2110.261
241.916, 2459.072
243.286, 2883.223
244.655, 2741.695
246.025, 3164.469
247.394, 3063.469
248.763, 3123.797
250.132, 3028.250
251.501, 2821.824
252.869, 2962.518
254.237, 2437.332
255.605, 2451.271
256.973, 1701.332
258.340, 1410.518
259.708, 1102.822
261.075, 712.248
262.442, 580.793
263.808, 68.457
265.175, 110.236
266.541, 40.869
267.907, 344.814
269.273, 255.719
270.639, 511.088
272.004, 303.656
273.369, 434.506
274.734, 274.857
276.099, 282.807
277.463, 251.459
278.828, 72.123
280.192, 141.059
281.556, 145.893
282.919, 128.039
284.283, 268.078
285.646, 374.258
287.009, 240.484
288.372, 753.750
289.734, 384.041
291.097, 952.334
292.459, 983.555
293.821, 1172.650
295.183, 1797.602
296.544, 1676.432
297.905, 2351.154
299.266, 2615.783
300.627, 2773.336
301.988, 2707.816
303.348, 2522.238
304.709, 3260.611
306.069, 3034.945
307.428, 3695.240
308.788, 3845.506
310.147, 4505.719
311.507, 5451.873
312.865, 5529.926
314.224, 6180.539
315.583, 5510.469
316.941, 5243.676
318.299, 4520.230
319.657, 3350.492
321.015, 2886.391
322.372, 1864.322
323.729, 1688.309
325.086, 1044.352
326.443, 832.453
327.800, 660.609
329.156, 350.824
330.512, 671.094
331.868, 440.420
333.224, 688.805
334.579, 876.248
335.935, 751.748
337.290, 1480.307
338.645, 1344.920
339.999, 2260.596
341.354, 2285.328
342.708, 2955.119
344.062, 3206.969
345.416, 3026.875
346.769, 3260.836
348.123, 2539.857
349.476, 2641.715
350.829, 2502.236
352.182, 2144.445
353.534, 2439.441
354.887, 2025.387
356.239, 2417.834
357.591, 2310.631
358.942, 2449.684
360.294, 2804.516
361.645, 2896.314
362.996, 3475.316
364.347, 3520.863
365.698, 4093.859
367.048, 4621.166
368.398, 4803.629
369.748, 5772.893
371.098, 5901.545
372.448, 6949.020
373.797, 7389.277
375.146, 8299.754
376.495, 9056.670
377.844, 9004.873
379.192, 9896.223
380.540, 9696.645
381.889, 10077.219
383.236, 9729.344
384.584, 9496.344
385.932, 9432.951
387.279, 8326.002
388.626, 8411.473
389.973, 8068.172
391.319, 7623.062
392.666, 7667.525
394.012, 7157.652
395.358, 7633.535
396.704, 6953.504
398.049, 7183.666
399.394, 7562.977
400.740, 7545.436
402.084, 8616.020
403.429, 8362.672
404.774, 9227.510
406.118, 9709.404
407.462, 10640.357
408.806, 12483.367
410.150, 12939.430
411.493, 15034.547
412.836, 16235.719
414.179, 18441.939
415.522, 20858.211
416.865, 22898.537
418.207, 26316.912
419.549, 26998.340
420.891, 29569.812
422.233, 29228.342
423.575, 28246.912
424.916, 26845.531
426.257, 24497.193
427.598, 22910.912
428.939, 21468.996
430.279, 19043.219
431.619, 18216.146
432.959, 17223.176
434.299, 17380.273
435.639, 16551.188
436.978, 17775.133
438.318, 18522.598
439.657, 18683.016
440.996, 18805.496
442.334, 18286.963
443.673, 17294.084
445.011, 15214.699
446.349, 12533.863
447.687, 11212.051
449.024, 9077.262
450.361, 8580.496
451.699, 7049.750
453.036, 6351.025
454.372, 6318.324
455.709, 5349.643
457.045, 5246.986
458.381, 4485.354
459.717, 4369.746
461.053, 4238.160
462.388, 3674.600
463.724, 4025.066
465.059, 3624.557
466.394, 4140.072
467.728, 4044.615
469.063, 4084.182
470.397, 4346.775
471.731, 4509.395
473.065, 5071.041
474.398, 5413.713
475.732, 5866.412
477.065, 6856.143
478.398, 7617.910
479.731, 9155.715
481.063, 10078.555
482.396, 12763.441
483.728, 15248.367
485.060, 17993.338
486.391, 23453.338
487.723, 27630.381
489.054, 34135.473
490.385, 40090.582
491.716, 42123.750
493.047, 44123.953
494.377, 40424.176
495.708, 35999.469
497.038, 29342.777
498.368, 23450.127
499.697, 19127.514
501.027, 14628.941
502.356, 12378.398
503.685, 9764.896
505.014, 8323.430
506.342, 7161.998
507.671, 5549.602
508.999, 5092.238
510.327, 4086.914
511.655, 3748.625
512.982, 3283.375
514.310, 2350.162
515.637, 2403.992
516.964, 1693.863
518.291, 1762.781
519.617, 1231.795
520.944, 1000.902
522.270, 1221.123
523.596, 647.504
524.921, 680.996
526.247, 432.664
527.572, 359.477
528.897, 399.428
530.222, 36.578
531.547, 2.709
532.871, 43.002
534.196, 139.475
535.520, 244.846
536.844, 460.168
538.167, 89.977
539.491, 387.230
540.814, 114.754
542.137, 100.102
543.460, 572.463
544.783, 89.504
546.105, 164.471
547.427, 94.947
548.749, 128.766
550.071, 328.602
551.393, 217.545
552.714, 3.357
554.035, 132.930
555.356, 439.789
556.677, 363.445
557.998, 853.512
559.318, 898.602
560.638, 1186.629
561.958, 1521.955
563.278, 1802.727
564.597, 2146.453
565.917, 2033.229
567.236, 2507.963
